# x, f(x)
-2.000000000000000000e+00,1.831563888873417867e-02
-1.995995995995996086e+00,1.846289951680907260e-02
-1.991991991991991950e+00,1.861134414358108294e-02
-1.987987987987988037e+00,1.876098228858663619e-02
-1.983983983983983901e+00,1.891182354790075723e-02
-1.979979979979979987e+00,1.906387759475240001e-02
-1.975975975975976073e+00,1.921715418014483673e-02
-1.971971971971971938e+00,1.937166313348093888e-02
-1.967967967967968024e+00,1.952741436319350640e-02
-1.963963963963963888e+00,1.968441785738073158e-02
-1.959959959959959974e+00,1.984268368444666586e-02
-1.955955955955956060e+00,2.000222199374694296e-02
-1.951951951951951925e+00,2.016304301623961237e-02
-1.947947947947948011e+00,2.032515706514122569e-02
-1.943943943943943875e+00,2.048857453658824851e-02
-1.939939939939939961e+00,2.065330591030369381e-02
-1.935935935935936048e+00,2.081936175026923019e-02
-1.931931931931931912e+00,2.098675270540260526e-02
-1.927927927927927998e+00,2.115548951024051952e-02
-1.923923923923923862e+00,2.132558298562707913e-02
-1.919919919919919948e+00,2.149704403940764369e-02
-1.915915915915916035e+00,2.166988366712840897e-02
-1.911911911911911899e+00,2.184411295274149220e-02
-1.907907907907907985e+00,2.201974306931570730e-02
-1.903903903903903849e+00,2.219678527975314439e-02
-1.899899899899899935e+00,2.237525093751136299e-02
-1.895895895895895800e+00,2.255515148733155603e-02
-1.891891891891891886e+00,2.273649846597240731e-02
-1.887887887887887972e+00,2.291930350294997878e-02
-1.883883883883883836e+00,2.310357832128348901e-02
-1.879879879879879923e+00,2.328933473824704864e-02
-1.875875875875875787e+00,2.347658466612755415e-02
-1.871871871871871873e+00,2.366534011298853171e-02
-1.867867867867867959e+00,2.385561318344026766e-02
-1.863863863863863823e+00,2.404741607941601744e-02
-1.859859859859859910e+00,2.424076110095448391e-02
-1.855855855855855774e+00,2.443566064698865850e-02
-1.851851851851851860e+00,2.463212721614087275e-02
-1.847847847847847724e+00,2.483017340752439323e-02
-1.843843843843843811e+00,2.502981192155131346e-02
-1.839839839839839897e+00,2.523105556074706213e-02
-1.835835835835835761e+00,2.543391723057140952e-02
-1.831831831831831847e+00,2.563840994024601042e-02
-1.827827827827827711e+00,2.584454680358877487e-02
