# x, f(x)
-1.200000000000000000e+01,1.107962102984501882e-03
-1.197597597597597563e+01,1.128085972155576117e-03
-1.195195195195195126e+01,1.148533919530732783e-03
-1.192792792792792866e+01,1.169310330882280570e-03
-1.190390390390390429e+01,1.190419635533532337e-03
-1.187987987987987992e+01,1.211866306501756512e-03
-1.185585585585585555e+01,1.233654860635771677e-03
-1.183183183183183118e+01,1.255789858748048793e-03
-1.180780780780780859e+01,1.278275905741179915e-03
-1.178378378378378422e+01,1.301117650728611692e-03
-1.175975975975975985e+01,1.324319787149475392e-03
-1.173573573573573547e+01,1.347887052877423881e-03
-1.171171171171171110e+01,1.371824230323322917e-03
-1.168768768768768851e+01,1.396136146531660365e-03
-1.166366366366366414e+01,1.420827673270557952e-03
-1.163963963963963977e+01,1.445903727115230557e-03
-1.161561561561561540e+01,1.471369269524781115e-03
-1.159159159159159103e+01,1.497229306912185648e-03
-1.156756756756756843e+01,1.523488890707319675e-03
-1.154354354354354406e+01,1.550153117412927115e-03
-1.151951951951951969e+01,1.577227128653346062e-03
-1.149549549549549532e+01,1.604716111215896256e-03
-1.147147147147147095e+01,1.632625297084766905e-03
-1.144744744744744835e+01,1.660959963467274324e-03
-1.142342342342342398e+01,1.689725432812357563e-03
-1.139939939939939961e+01,1.718927072821149586e-03
-1.137537537537537524e+01,1.748570296449506291e-03
-1.135135135135135087e+01,1.778660561902359544e-03
-1.132732732732732828e+01,1.809203372619718614e-03
-1.130330330330330391e+01,1.840204277254231958e-03
-1.127927927927927954e+01,1.871668869640098374e-03
-1.125525525525525516e+01,1.903602788753266809e-03
-1.123123123123123079e+01,1.936011718662720331e-03
-1.120720720720720642e+01,1.968901388472733046e-03
-1.118318318318318383e+01,2.002277572255949881e-03
-1.115915915915915946e+01,2.036146088977159371e-03
-1.113513513513513509e+01,2.070512802407581832e-03
-1.111111111111111072e+01,2.105383621029588165e-03
-1.108708708708708635e+01,2.140764497931658440e-03
-1.106306306306306375e+01,2.176661430693455166e-03
-1.103903903903903938e+01,2.213080461260893278e-03
-1.101501501501501501e+01,2.250027675811010815e-03
-1.099099099099099064e+01,2.287509204606559630e-03
-1.096696696696696627e+01,2.325531221840140914e-03
-1.094294294294294367e+01,2.364099945467742873e-03
-1.091891891891891930e+01,2.403221637031569945e-03
-1.089489489489489493e+01,2.442902601471983164e-03
-1.087087087087087056e+01,2.483149186928442376e-03
-1.084684684684684619e+01,2.523967784529309796e-03
-1.082282282282282360e+01,2.565364828170358779e-03
-1.079879879879879923e+01,2.607346794281870713e-03
-1.077477477477477485e+01,2.649920201584160008e-03
-1.075075075075075048e+01,2.693091610831417886e-03
-1.072672672672672611e+01,2.736867624543719291e-03
-1.070270270270270174e+01,2.781254886727068873e-03
-1.067867867867867915e+01,2.826260082581342516e-03
-1.065465465465465478e+01,2.871889938196010763e-03
-1.063063063063063041e+01,2.918151220233474591e-03
-1.060660660660660604e+01,2.965050735599929817e-03
-1.058258258258258167e+01,3.012595331103594485e-03
-1.055855855855855907e+01,3.060791893100189929e-03
-1.053453453453453470e+01,3.109647347125541524e-03
-1.051051051051051033e+01,3.159168657515156430e-03
-1.048648648648648596e+01,3.209362827010692025e-03
-1.046246246246246159e+01,3.260236896353152850e-03
-1.043843843843843899e+01,3.311797943862709783e-03
-1.041441441441441462e+01,3.364053085005040862e-03
-1.039039039039039025e+01,3.417009471944009846e-03
-1.036636636636636588e+01,3.470674293080653044e-03
-1.034234234234234151e+01,3.525054772578293128e-03
-1.031831831831831892e+01,3.580158169873673239e-03
-1.029429429429429455e+01,3.635991779174056315e-03
-1.027027027027027017e+01,3.692562928940065423e-03
-1.024624624624624580e+01,3.749878981354283752e-03
-1.022222222222222143e+01,3.807947331775422134e-03
-1.019819819819819884e+01,3.866775408177969102e-03
-1.017417417417417447e+01,3.926370670577257124e-03
-1.015015015015015010e+01,3.986740610439760274e-03
-1.012612612612612573e+01,4.047892750078623328e-03
-1.010210210210210136e+01,4.109834642034262270e-03
-1.007807807807807876e+01,4.172573868439955098e-03
-1.005405405405405439e+01,4.236118040372355287e-03
-1.003003003003003002e+01,4.300474797186778705e-03
-1.000600600600600565e+01,4.365651805837264879e-03
-9.981981981981981278e+00,4.431656760181241703e-03
-9.957957957957958683e+00,4.498497380268777143e-03
-9.933933933933934313e+00,4.566181411616302560e-03
-9.909909909909909942e+00,4.634716624464731323e-03
-9.885885885885885571e+00,4.704110813021921550e-03
-9.861861861861861200e+00,4.774371794689398832e-03
-9.837837837837838606e+00,4.845507409273270422e-03
-9.813813813813814235e+00,4.917525518179275378e-03
-9.789789789789789864e+00,4.990434003591875251e-03
-9.765765765765765494e+00,5.064240767637396591e-03
-9.741741741741741123e+00,5.138953731531089100e-03
-9.717717717717718529e+00,5.214580834708101159e-03
-9.693693693693694158e+00,5.291130033938336308e-03
-9.669669669669669787e+00,5.368609302425040621e-03
-9.645645645645645416e+00,5.447026628887247611e-03
-9.621621621621621046e+00,5.526390016625888982e-03
-9.597597597597598451e+00,5.606707482573624127e-03
-9.573573573573574080e+00,5.687987056328336344e-03
-9.549549549549549710e+00,5.770236779170241984e-03
-9.525525525525525339e+00,5.853464703062617736e-03
-9.501501501501500968e+00,5.937678889636144319e-03
-9.477477477477478374e+00,6.022887409156786782e-03
-9.453453453453454003e+00,6.109098339477292069e-03
-9.429429429429429632e+00,6.196319764972162483e-03
-9.405405405405405261e+00,6.284559775456261162e-03
-9.381381381381380891e+00,6.373826465086933346e-03
-9.357357357357358296e+00,6.464127931249663388e-03
-9.333333333333333925e+00,6.555472273427370711e-03
-9.309309309309309555e+00,6.647867592053187738e-03
-9.285285285285285184e+00,6.741321987346896721e-03
-9.261261261261260813e+00,6.835843558134983844e-03
-9.237237237237238219e+00,6.931440400654294114e-03
-9.213213213213213848e+00,7.028120607339441439e-03
-9.189189189189189477e+00,7.125892265593810823e-03
-9.165165165165165106e+00,7.224763456544419822e-03
-9.141141141141140736e+00,7.324742253780532585e-03
