# x, f(x), root1, root2
-1.700000000000000000e+01,-2.800000000000000000e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.691478696741854648e+01,-2.782957393483709296e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.682957393483709296e+01,-2.765914786967418593e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.674436090225563945e+01,-2.748872180451127889e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.665914786967418593e+01,-2.731829573934837185e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.657393483709273241e+01,-2.714786967418546482e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.648872180451127889e+01,-2.697744360902255778e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.640350877192982537e+01,-2.680701754385965074e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.631829573934837185e+01,-2.663659147869674371e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.623308270676691834e+01,-2.646616541353383667e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.614786967418546482e+01,-2.629573934837092963e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.606265664160401130e+01,-2.612531328320802260e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.597744360902255600e+01,-2.595488721804511201e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.589223057644110249e+01,-2.578446115288220497e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.580701754385964897e+01,-2.561403508771929793e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.572180451127819545e+01,-2.544360902255639090e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.563659147869674193e+01,-2.527318295739348386e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.555137844611528841e+01,-2.510275689223057682e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.546616541353383489e+01,-2.493233082706766979e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.538095238095238138e+01,-2.476190476190476275e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.529573934837092786e+01,-2.459147869674185571e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.521052631578947434e+01,-2.442105263157894868e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.512531328320802082e+01,-2.425062656641604164e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.504010025062656553e+01,-2.408020050125313105e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.495488721804511201e+01,-2.390977443609022401e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.486967418546365849e+01,-2.373934837092731698e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.478446115288220497e+01,-2.356892230576440994e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.469924812030075145e+01,-2.339849624060150290e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.461403508771929793e+01,-2.322807017543859587e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.452882205513784442e+01,-2.305764411027568883e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.444360902255639090e+01,-2.288721804511278179e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.435839598997493738e+01,-2.271679197994987476e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.427318295739348386e+01,-2.254636591478696772e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
