# x, sinc(x)
-2.000000000000000000e+01,4.564726253638138470e-02
-1.995995995995995997e+01,4.488377104460225531e-02
-1.991991991991991995e+01,4.404511735628555830e-02
-1.987987987987987992e+01,4.313233929175647186e-02
-1.983983983983983990e+01,4.214659668353219063e-02
-1.979979979979979987e+01,4.108917002620056380e-02
-1.975975975975975985e+01,3.996145893114130820e-02
-1.971971971971971982e+01,3.876498038776169525e-02
-1.967967967967967979e+01,3.750136683322650294e-02
-1.963963963963963977e+01,3.617236403296757857e-02
-1.959959959959959974e+01,3.477982877456204519e-02
-1.955955955955955972e+01,3.332572637786840319e-02
-1.951951951951951969e+01,3.181212802460686717e-02
-1.947947947947947966e+01,3.024120791086353649e-02
-1.943943943943943964e+01,2.861524022628690600e-02
-1.939939939939939961e+01,2.693659596402909681e-02
-1.935935935935935959e+01,2.520773956576332839e-02
-1.931931931931931956e+01,2.343122540638202869e-02
-1.927927927927927954e+01,2.160969412324710917e-02
-1.923923923923923951e+01,1.974586879512445561e-02
-1.919919919919919948e+01,1.784255097618791044e-02
-1.915915915915915946e+01,1.590261659072432845e-02
-1.911911911911911943e+01,1.392901169440928510e-02
-1.907907907907907941e+01,1.192474810825320045e-02
-1.903903903903903938e+01,9.892898931538987237e-03
-1.899899899899899935e+01,7.836593940284774726e-03
-1.895895895895895933e+01,5.759014877968455549e-03
-1.891891891891891930e+01,3.663390645444238730e-03
-1.887887887887887928e+01,1.552992397164818612e-03
-1.883883883883883925e+01,-5.688714490040368407e-04
-1.879879879879879923e+01,-2.698860280927204650e-03
-1.875875875875875920e+01,-4.833606432701341611e-03
-1.871871871871871917e+01,-6.969720388772139910e-03
-1.867867867867867915e+01,-9.103796043797443907e-03
-1.863863863863863912e+01,-1.123241601026868201e-02
-1.859859859859859910e+01,-1.335215696579767145e-02
-1.855855855855855907e+01,-1.545959503188264889e-02
-1.851851851851851904e+01,-1.755131117588630205e-02
-1.847847847847847902e+01,-1.962389662789019301e-02
-1.843843843843843899e+01,-2.167395830403400295e-02
-1.839839839839839897e+01,-2.369812422790490772e-02
-1.835835835835835894e+01,-2.569304894151215948e-02
-1.831831831831831892e+01,-2.765541889736457259e-02
-1.827827827827827889e+01,-2.958195782316436553e-02
-1.823823823823823886e+01,-3.146943205063961607e-02
-1.819819819819819884e+01,-3.331465580005942700e-02
-1.815815815815815881e+01,-3.511449641201110777e-02
-1.811811811811811879e+01,-3.686587951806657992e-02
-1.807807807807807876e+01,-3.856579414202682132e-02
-1.803803803803803874e+01,-4.021129772350718473e-02
-1.799799799799799871e+01,-4.179952105571396737e-02
-1.795795795795795868e+01,-4.332767312936267740e-02
-1.791791791791791866e+01,-4.479304587480156113e-02
-1.787787787787787863e+01,-4.619301879452954868e-02
